"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 02 12:42:05 GMT 2023","Sun Apr 02 12:42:21 GMT 2023","15738","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingDuplicateErrorTest","Проверка сообщения об ошибке при попытке добавления дубликата клиента","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"passed","Sun Apr 02 12:42:05 GMT 2023","Sun Apr 02 12:42:22 GMT 2023","17876","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulReverseSortTest","Проверка успешной сортировки клиентов по имени в обратном алфавитном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"passed","Sun Apr 02 12:42:20 GMT 2023","Sun Apr 02 12:42:25 GMT 2023","4533","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[5] Name123456, Surname123456, Postcode123456","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sun Apr 02 12:42:06 GMT 2023","Sun Apr 02 12:42:22 GMT 2023","15951","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[2] Weasly","Тест для осуществления проверки поиска клиентов"
"passed","Sun Apr 02 12:42:05 GMT 2023","Sun Apr 02 12:42:20 GMT 2023","14730","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[1] иМяName, фАмИлИяSuRname, кОдPoStCode","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sun Apr 02 12:42:05 GMT 2023","Sun Apr 02 12:42:20 GMT 2023","15203","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingSpaceFieldsErrorTest","Проверка сообщения об ошибке при попытке создания клиента с заполнением полей пробелом","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"passed","Sun Apr 02 12:42:05 GMT 2023","Sun Apr 02 12:42:22 GMT 2023","17132","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulSortTest","Проверка успешной сортировки клиентов по имени в алфавитном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"passed","Sun Apr 02 12:42:04 GMT 2023","Sun Apr 02 12:42:20 GMT 2023","16610","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[1] , Surname, 111111","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sun Apr 02 12:42:20 GMT 2023","Sun Apr 02 12:42:25 GMT 2023","4830","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[2] Name, , 111111","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sun Apr 02 12:42:05 GMT 2023","Sun Apr 02 12:42:21 GMT 2023","16119","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[3] 55","Тест для осуществления проверки поиска клиентов"
"passed","Sun Apr 02 12:42:05 GMT 2023","Sun Apr 02 12:42:20 GMT 2023","14669","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[3] @#$%^&, @#$%^&, @#$%^&","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sun Apr 02 12:42:20 GMT 2023","Sun Apr 02 12:42:26 GMT 2023","5382","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[4] Nameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, Surnameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, 111111111111111111111111111111111111111111111111","Параметризированный тест для осуществления проверки успешного добавления клиента"
"failed","Sun Apr 02 12:42:06 GMT 2023","Sun Apr 02 12:42:23 GMT 2023","17062","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[1] l","Тест для осуществления проверки поиска клиентов"
"passed","Sun Apr 02 12:42:04 GMT 2023","Sun Apr 02 12:43:18 GMT 2023","74463","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","searchNonexistentCustomerTest","Проверка поиска несуществующего клиента","Тест для осуществления проверки поиска клиентов"
"passed","Sun Apr 02 12:42:20 GMT 2023","Sun Apr 02 12:42:25 GMT 2023","4889","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[3] Name, Surname, ","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sun Apr 02 12:42:05 GMT 2023","Sun Apr 02 12:42:20 GMT 2023","14356","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[2] 1, 1, 1","Параметризированный тест для осуществления проверки успешного добавления клиента"
