"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:07:53 GMT 2023","55415","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[3] 1, 1, 1","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:08:01 GMT 2023","63638","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[3] 55","Тест для осуществления проверки поиска клиентов"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:07:52 GMT 2023","54634","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulReverseSortTest","Проверка успешной сортировки клиентов по имени в обратном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:08:01 GMT 2023","63446","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[2] Weasly","Тест для осуществления проверки поиска клиентов"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:07:51 GMT 2023","54034","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulSortTest","Проверка успешной сортировки клиентов по имени в алфавитном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:07:53 GMT 2023","55646","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[1] Name, Surname, 111111","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:07:50 GMT 2023","Sat Apr 01 21:07:55 GMT 2023","5376","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[3] Name, Surname, ","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sat Apr 01 21:07:53 GMT 2023","Sat Apr 01 21:07:58 GMT 2023","5269","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[6] Name123456, Surname123456, Postcode123456","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:07:53 GMT 2023","Sat Apr 01 21:07:59 GMT 2023","5895","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[5] Nameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, Surnameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, 111111111111111111111111111111111111111111111111","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:06:53 GMT 2023","Sat Apr 01 21:08:47 GMT 2023","113626","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","searchNonexistentCustomerTest","Проверка поиска несуществующего клиента","Тест для осуществления проверки поиска клиентов"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:07:50 GMT 2023","52935","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingDuplicateErrorTest","Проверка сообщения об ошибке при попытке добавления дубликата клиента","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:07:53 GMT 2023","55637","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[2] иМяName, фАмИлИяSuRname, кОдPoStCode","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:07:49 GMT 2023","51275","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingSpaceFieldsErrorTest","Проверка сообщения об ошибке при попытке создания клиента с заполнением полей пробелом","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"passed","Sat Apr 01 21:07:53 GMT 2023","Sat Apr 01 21:07:58 GMT 2023","5050","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[4] @#$%^&, @#$%^&, @#$%^&","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:07:50 GMT 2023","Sat Apr 01 21:07:55 GMT 2023","5238","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[2] Name, , 111111","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"failed","Sat Apr 01 21:06:57 GMT 2023","Sat Apr 01 21:08:01 GMT 2023","63724","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[1] l","Тест для осуществления проверки поиска клиентов"
"passed","Sat Apr 01 21:06:53 GMT 2023","Sat Apr 01 21:07:49 GMT 2023","56187","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[1] , Surname, 111111","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
