"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 21:13:54 GMT 2023","Sat Apr 01 21:14:18 GMT 2023","23949","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingDuplicateErrorTest","Проверка сообщения об ошибке при попытке добавления дубликата клиента","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"passed","Sat Apr 01 21:13:55 GMT 2023","Sat Apr 01 21:14:20 GMT 2023","25187","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[2] Weasly","Тест для осуществления проверки поиска клиентов"
"passed","Sat Apr 01 21:14:18 GMT 2023","Sat Apr 01 21:14:24 GMT 2023","5892","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[3] Name, Surname, ","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sat Apr 01 21:14:22 GMT 2023","Sat Apr 01 21:14:28 GMT 2023","6017","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[5] Nameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, Surnameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, 111111111111111111111111111111111111111111111111","Параметризированный тест для осуществления проверки успешного добавления клиента"
"failed","Sat Apr 01 21:13:55 GMT 2023","Sat Apr 01 21:14:21 GMT 2023","26028","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[1] l","Тест для осуществления проверки поиска клиентов"
"passed","Sat Apr 01 21:13:54 GMT 2023","Sat Apr 01 21:14:22 GMT 2023","27235","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[3] 1, 1, 1","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:13:54 GMT 2023","Sat Apr 01 21:14:17 GMT 2023","22584","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingSpaceFieldsErrorTest","Проверка сообщения об ошибке при попытке создания клиента с заполнением полей пробелом","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"passed","Sat Apr 01 21:13:55 GMT 2023","Sat Apr 01 21:14:20 GMT 2023","25976","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulSortTest","Проверка успешной сортировки клиентов по имени в алфавитном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"passed","Sat Apr 01 21:14:18 GMT 2023","Sat Apr 01 21:14:24 GMT 2023","5972","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[2] Name, , 111111","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sat Apr 01 21:14:22 GMT 2023","Sat Apr 01 21:14:27 GMT 2023","5641","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[6] Name123456, Surname123456, Postcode123456","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:13:52 GMT 2023","Sat Apr 01 21:14:17 GMT 2023","25253","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[1] , Surname, 111111","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sat Apr 01 21:13:54 GMT 2023","Sat Apr 01 21:14:20 GMT 2023","25552","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulReverseSortTest","Проверка успешной сортировки клиентов по имени в обратном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"passed","Sat Apr 01 21:13:54 GMT 2023","Sat Apr 01 21:14:22 GMT 2023","27435","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[1] Name, Surname, 111111","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:13:55 GMT 2023","Sat Apr 01 21:14:22 GMT 2023","27467","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[2] иМяName, фАмИлИяSuRname, кОдPoStCode","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:13:52 GMT 2023","Sat Apr 01 21:15:15 GMT 2023","82851","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","searchNonexistentCustomerTest","Проверка поиска несуществующего клиента","Тест для осуществления проверки поиска клиентов"
"passed","Sat Apr 01 21:14:22 GMT 2023","Sat Apr 01 21:14:27 GMT 2023","5488","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[4] @#$%^&, @#$%^&, @#$%^&","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sat Apr 01 21:13:55 GMT 2023","Sat Apr 01 21:14:20 GMT 2023","25576","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[3] 55","Тест для осуществления проверки поиска клиентов"
