"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 02 15:52:22 GMT 2023","Sun Apr 02 15:52:26 GMT 2023","4359","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[5] Name123456, Surname123456, Postcode123456","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sun Apr 02 15:52:22 GMT 2023","Sun Apr 02 15:52:26 GMT 2023","3753","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[3] Name, Surname, ","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sun Apr 02 15:52:05 GMT 2023","Sun Apr 02 15:52:25 GMT 2023","19764","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulReverseSortTest","Проверка успешной сортировки клиентов по имени в обратном алфавитном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"passed","Sun Apr 02 15:52:04 GMT 2023","Sun Apr 02 15:52:23 GMT 2023","18219","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingDuplicateErrorTest","Проверка сообщения об ошибке при попытке добавления дубликата клиента","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"passed","Sun Apr 02 15:52:05 GMT 2023","Sun Apr 02 15:52:22 GMT 2023","17241","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[1] иМяName, фАмИлИяSuRname, кОдPoStCode","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sun Apr 02 15:52:05 GMT 2023","Sun Apr 02 15:52:22 GMT 2023","16453","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[2] Weasly, 1","Тест для осуществления проверки поиска клиентов"
"passed","Sun Apr 02 15:52:04 GMT 2023","Sun Apr 02 15:52:22 GMT 2023","17533","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingSpaceFieldsErrorTest","Проверка сообщения об ошибке при попытке создания клиента с заполнением полей пробелом","Тест для осуществления проверки сообщения об ошибке при неправильном добавлении клиента"
"passed","Sun Apr 02 15:52:22 GMT 2023","Sun Apr 02 15:52:26 GMT 2023","3822","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[2] Name, , 111111","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sun Apr 02 15:52:05 GMT 2023","Sun Apr 02 15:52:25 GMT 2023","19407","","Тесты сортировки клиентов","","com.github.Chestaci.SortTest","successfulSortTest","Проверка успешной сортировки клиентов по имени в алфавитном порядке","Тест для осуществления проверки успешной сортировки клиентов"
"broken","Sun Apr 02 15:52:05 GMT 2023","Sun Apr 02 15:52:50 GMT 2023","45139","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[1] l, 3","Тест для осуществления проверки поиска клиентов"
"passed","Sun Apr 02 15:52:04 GMT 2023","Sun Apr 02 15:52:22 GMT 2023","17474","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[3] @#$%^&, @#$%^&, @#$%^&","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sun Apr 02 15:52:05 GMT 2023","Sun Apr 02 15:52:22 GMT 2023","17020","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[2] 1, 1, 1","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sun Apr 02 15:52:05 GMT 2023","Sun Apr 02 15:52:22 GMT 2023","16950","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","successfulSearchCustomerTest","[3] 55, 2","Тест для осуществления проверки поиска клиентов"
"passed","Sun Apr 02 15:52:22 GMT 2023","Sun Apr 02 15:52:26 GMT 2023","4660","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","successfulAddingCustomerTest","[4] Nameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, Surnameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee, 111111111111111111111111111111111111111111111111","Параметризированный тест для осуществления проверки успешного добавления клиента"
"passed","Sun Apr 02 15:52:03 GMT 2023","Sun Apr 02 15:52:22 GMT 2023","18805","","Тесты добавления клиента","","com.github.Chestaci.AddingCustomerTest","checkingEmptyFieldsErrorTest","[1] , Surname, 111111","Параметризированный тест для осуществления проверки получения подсказки о незаполненном поле при неправильном добавлении клиента"
"passed","Sun Apr 02 15:52:03 GMT 2023","Sun Apr 02 15:52:20 GMT 2023","16810","","Тесты поиска клиентов","","com.github.Chestaci.CustomerSearchTest","searchNonexistentCustomerTest","Проверка поиска несуществующего клиента","Тест для осуществления проверки поиска клиентов"
